Name,Genre,Year,Score,Director,Actor,Country,Duration,Link,ImageLink,Description
Heat,Crime,1995,8.2,Michael Mann,Al Pacino,United States,170,https://www.imdb.com/title/tt0113277/,https://imdb-api.com/images/original/MV5BNGMwNzUwNjYtZWM5NS00YzMyLWI4NjAtNjM0ZDBiMzE1YWExXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_Ratio0.6751_AL_.jpg,"Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--'Never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. Thus the stage is set for the suspenseful ending...."
Clueless,Comedy,1995,6.8,Amy Heckerling,Alicia Silverstone,United States,97,https://www.imdb.com/title/tt0112697/,https://imdb-api.com/images/original/MV5BMzBmOGQ0NWItOTZjZC00ZDAxLTgyOTEtODJiYWQ2YWNiYWVjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_Ratio0.6751_AL_.jpg,"Cher, a high school student in Beverly Hills, must survive the ups and downs of adolescent life. Her external demeanor at first seems superficial, but rather it hides her wit, charm, and intelligence which help her to deal with relationships, friends, family, school, and the all-important teenage social life."
Se7en,Crime,1995,8.6,David Fincher,Morgan Freeman,United States,127,https://www.imdb.com/title/tt0114369/,https://imdb-api.com/images/original/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_Ratio0.6751_AL_.jpg,"A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer..."""
Braveheart,Biography,1995,8.3,Mel Gibson,Mel Gibson,United States,178,https://www.imdb.com/title/tt0112573/,https://imdb-api.com/images/original/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_Ratio0.6751_AL_.jpg,"William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce."
Jumanji,Adventure,1995,7,Joe Johnston,Robin Williams,United States,104,https://www.imdb.com/title/tt0113497/,https://imdb-api.com/images/original/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Jumanji, one of the most unique--and dangerous--board games ever, falls into the hands of the curious teen, Alan Parrish, in 1969. Mysterious and magical, the game strands the unsuspecting boy in the lush, savage forests of a mythical realm. Nearly three decades later, the game releases him before the awed eyes of the young orphaned siblings, Judy and Peter Shepherd. Now, the wild and incessant beat of the jungle's tribal drums is calling for the now-adult Alan and the other hesitant players, as the one who rolls the dice must never leave undone what the roll has started. Has anyone ever escaped from the game and Jumanji's formidable foes?"
Casino,Crime,1995,8.2,Martin Scorsese,Robert De Niro,United States,178,https://www.imdb.com/title/tt0112641/,https://imdb-api.com/images/original/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_Ratio0.6751_AL_.jpg,"This Martin Scorsese film depicts the Janus-like quality of Las Vegas--it has a glittering, glamorous face, as well as a brutal, cruel one. Ace Rothstein and Nicky Santoro, mobsters who move to Las Vegas to make their mark, live and work in this paradoxical world. Seen through their eyes, each as a foil to the other, the details of mob involvement in the casinos of the 1970s and '80s are revealed. Ace is the smooth operator of the Tangiers casino, while Nicky is his boyhood friend and tough strongman, robbing and shaking down the locals. However, they each have a tragic flaw--Ace falls in love with a hustler, Ginger, and Nicky falls into an ever-deepening spiral of drugs and violence."
12 Monkeys,Mystery,1995,8,Terry Gilliam,Bruce Willis,United States,129,https://www.imdb.com/title/tt0114746/,https://imdb-api.com/images/original/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"James Cole, a prisoner of the state in the year 2035, can earn parole if he agrees to travel back in time and thwart a devastating plague. The virus has wiped out most of the Earth's population and the remainder live underground because the air is poisonous. Returning to the year 1990, six years before the start of the plague, Cole is soon imprisoned in a psychiatric facility because his warnings sound like mad ravings. There he meets a scientist named Dr. Kathryn Railly and Jeffrey Goines, the mad son of an eminent virologist. Cole is returned by the authorities to the year 2035, and finally ends up at his intended destination in 1996. He kidnaps Dr. Railly in order to enlist her help in his quest. Cole discovers graffiti by an apparent animal rights group called the Army of the Twelve Monkeys, but as he delves into the mystery, he hears voices, loses his bearings, and doubts his own sanity. He must figure out if Goines, who seems to be a raving lunatic, holds the key to the puzzle."
Showgirls,Drama,1995,4.9,Paul Verhoeven,Elizabeth Berkley,France,128,https://www.imdb.com/title/tt0114436/,https://imdb-api.com/images/original/MV5BNzcyMjExNjg3OF5BMl5BanBnXkFtZTgwOTY4Mjc1MDE@._V1_Ratio0.6751_AL_.jpg,"All alone in the world, Nomi Malone, making her way to Las Vegas, is determined to make a name as a dancer while putting her unspoken past behind her. Her tough, streetwise veneer is not as infallible as she would like, she, as she arrives in Vegas, becoming more cautious in the way she approaches strangers who seem willing to help her purely out of the goodness of their heart. Her talent and connections in combination are only able to get her a job at the Cheetah Club, a strip joint. Her first true friend in Vegas, Molly Abrams, works as the costumer for Goddess, the topless production at the Stardust. It is through Molly that Nomi catches the eye of Goddess' headliner, Cristal Connors. Nomi has a love/hate feeling toward Cristal: she doesn't much like her but wants to become her. Being at the Stardust, Nomi also catches the eye of Cristal's boyfriend, Zack Carey, Stardust's entertainment director. Through these contacts, Nomi is presented opportunity after opportunity to be part of the Stardust/Goddess family. She has to decide how far she will go to achieve her dream. James Smith, a struggling dancer/choreographer who works whatever odd jobs he can get and who is also attracted to Nomi largely for her natural albeit very raw talent, doesn't see Nomi's chosen path as the one she should pursue as he considers Goddess illegitimate: while the Cheetah is what it appears on the surface, Goddess is the Cheetah hiding behind its big name. Through it all, Nomi will discover the good, the bad and the very bad about Vegas life, especially among the rich and beautiful."
The Basketball Diaries,Biography,1995,7.3,Scott Kalvert,Leonardo DiCaprio,United States,102,https://www.imdb.com/title/tt0112461/,https://imdb-api.com/images/original/MV5BMjdlNzQxZGUtZTg5YS00ODg2LTkxMzctMDAyNmEwM2YyZjA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Film adaptation of street tough Jim Carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction. As a member of a seemingly unbeatable high school basketball squad, Jim's life centers around the basketball court and the court becomes a metaphor for the world in his mind. A best friend who is dying of leukemia, a coach (Swifty"") who takes unacceptable liberties with the boys on his team"
La Haine,Crime,1995,8.1,Mathieu Kassovitz,Vincent Cassel,France,98,https://www.imdb.com/title/tt0113247/,https://imdb-api.com/images/original/MV5BNDNiOTA5YjktY2Q0Ni00ODgzLWE5MWItNGExOWRlYjY2MjBlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_Ratio0.6751_AL_.jpg,The film follows three young men and their time spent in the French suburban ghetto
Lost Highway,Mystery,1997,7.6,David Lynch,Bill Pullman,France,134,https://www.imdb.com/title/tt0116922/,https://imdb-api.com/images/original/MV5BYWUxOWY4NDctMDFmMS00ZTQwLWExMGEtODg0ZWNhOTE5NzZmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Fred Madison, a saxophonist, is accused under mysterious circumstances of murdering his wife Renee. On death row, he inexplicably morphs into a young man named Pete Dayton, leading a completely different life. When Pete is released, his and Fred's paths begin to cross in a surreal, suspenseful web of intrigue, orchestrated by a shady gangster boss named Dick Laurent."
Seven Years in Tibet,Adventure,1997,7.1,Jean-Jacques Annaud,Brad Pitt,United States,136,https://www.imdb.com/title/tt0120102/,https://imdb-api.com/images/original/MV5BYmM4ZDhhNmItMDEyZi00NDUyLTk3MzUtMzE5NTE1ZWM0N2UyXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_Ratio0.6751_AL_.jpg,"After the death of 11 climbers, Austrian Heinrich Harrer (Brad Pitt) decides to add glory to his country and to the Austrian pride by climbing Nanga Parbat in British India, and leaves his expectant wife behind. An egoist and a loner, he does not get along with others on his team - but must bend to their wishes after bad weather threatens them. Then WWII breaks out, they are arrested and lodged in Dehra Dun's P.O.W. Camp. He attempts to break out several times in vain, but finally does succeed along with Peter Aufschnaiter (David Thewlis), and they end up in the holy city of Lhasa - a place banned to foreigners. They are provided food and shelter, and Peter ends up marrying a tailor, Pema Lhaki, while Heinrich befriends the Dalai Lama. They meet regularly; while he satiates the child's curiosity about the world, including Jack the Ripper and 'yellow hair'; he is exposed to the teachings of Lord Buddha, He even constructs a movie theater, while getting news of the end of the war, his divorce, and his son's refusal to communicate. But nothing will prepare him for the devastation about to descend when Communist China decides to attack, leading to the deaths of over 1 million Tibetans, the destruction of over 6000 monasteries, and betrayal from their very own people."
Mimic,Horror,1997,6,Guillermo del Toro,Mira Sorvino,United States,105,https://www.imdb.com/title/tt0119675/,https://imdb-api.com/images/original/MV5BODk4MjRkODctOTVjNS00MmI2LTg0Y2ItMWQyMzdkZDU3MzMyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_Ratio0.6751_AL_.jpg,"A disease carried by common cockroaches is killing Manhattan children. In an effort to stop the epidemic an entomologist, Susan Tyler, creates a mutant breed of insect that secretes a fluid to kill the roaches. This mutant breed was engineered to die after one generation, but three years later Susan finds out that the species has survived and evolved into a large, gruesome monster that can mimic human form."
Happy Together,Drama,1997,7.7,Kar-Wai Wong,Leslie Cheung,Hong Kong,96,https://www.imdb.com/title/tt0118845/,https://imdb-api.com/images/original/MV5BMjk1MmM4MTEtM2ZjZC00MjIzLWJiNTktM2YxNWRkMzljY2EzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Yiu-Fai and Po-Wing arrive in Argentina from Hong Kong and take to the road for a holiday. Something is wrong and their relationship goes adrift. A disillusioned Yiu-Fai starts working at a tango bar to save up for his trip home. When a beaten and bruised Po-Wing reappears, Yiu-Fai is empathetic but is unable to enter a more intimate relationship. After all, Po-Wing is not ready to settle down. Yiu-Fai now works in a Chinese restaurant and meets the youthful Chang from Taiwan. Yiu-Fai's life takes on a new spin, while Po-Wing's life shatters continually in contrast."
The Matrix,Action,1999,8.7,Lana Wachowski,Keanu Reeves,United States,136,https://www.imdb.com/title/tt0133093/,https://imdb-api.com/images/original/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_Ratio0.6751_AL_.jpg,"Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. As a rebel against the machines, Neo must confront the agents: super-powerful computer programs devoted to stopping Neo and the entire human rebellion."
Fight Club,Drama,1999,8.8,David Fincher,Brad Pitt,Germany,139,https://www.imdb.com/title/tt0137523/,https://imdb-api.com/images/original/MV5BNDIzNDU0YzEtYzE5Ni00ZjlkLTk5ZjgtNjM3NWE4YzA3Nzk3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_Ratio0.6751_AL_.jpg,"A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power."
The Talented Mr. Ripley,Crime,1999,7.4,Anthony Minghella,Matt Damon,United States,139,https://www.imdb.com/title/tt0134119/,https://imdb-api.com/images/original/MV5BODA3NDhiZjYtYTk2NS00ZWYwLTljYTQtMjU0NzcyMGEzNTU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"The 1950s. Manhattan lavatory attendant, Tom Ripley, borrows a Princeton jacket to play piano at a garden party. When the wealthy father of a recent Princeton grad chats Tom up, Tom pretends to know the son and is soon offered $1,000 to go to Italy to convince Dickie Greenleaf to return home. In Italy, Tom attaches himself to Dickie and to Marge, Dickie's cultured fiancée, pretending to love jazz and harboring homoerotic hopes as he soaks in luxury. Besides lying, Tom's talents include impressions and forgery, so when the handsome and confident Dickie tires of Tom, dismissing him as a bore, Tom goes to extreme lengths to make Greenleaf's privileges his own."
Eyes Wide Shut,Drama,1999,7.4,Stanley Kubrick,Tom Cruise,United Kingdom,159,https://www.imdb.com/title/tt0120663/,https://imdb-api.com/images/original/MV5BYzMzZjcyNzEtZjE2OC00Yjk3LWExOGItODdhNzhkZTdmM2M0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_Ratio0.6751_AL_.jpg,"After his wife, Alice, tells him about her sexual fantasies, William Harford sets out for a night of sexual adventure. After several less than successful encounters, he meets an old friend, Nick Nightingale--now a musician--who tells him of strange sex parties where he is required to play the piano blindfolded. All the men at the party are costumed and wear masks while the women are all young and beautiful. Harford manages to find an appropriate costume and heads out to the party. Once there, however, he is warned by someone who recognizes him, despite the mask, that he is in great danger. He manages to extricate himself, but the threats prove to be quite real and sinister."
American Pie,Comedy,1999,7,Paul Weitz,Jason Biggs,United States,95,https://www.imdb.com/title/tt0163651/,https://imdb-api.com/images/original/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_Ratio0.6751_AL_.jpg,"Jim, Oz, Finch and Kevin are four friends who make a pact that before they graduate they will all lose their virginity. The hard job now is how to reach that goal by prom night. Whilst Oz begins singing to grab attention and Kevin tries to persuade his girlfriend, Finch tries any easy route of spreading rumors and Jim fails miserably. Whether it is being caught on top of a pie or on the Internet, Jim always ends up with his trusty sex advice from his father. Will they achieve their goal of getting laid by prom night? Or will they learn something much different?"
Notting Hill,Comedy,1999,7.1,Roger Michell,Hugh Grant,United Kingdom,124,https://www.imdb.com/title/tt0125439/,https://imdb-api.com/images/original/MV5BMTE5OTkwYzYtNDhlNC00MzljLTk1YTktY2IxZjliZmNjMjUzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Every man's dream comes true for William Thacker, an unsuccessful Notting Hill bookstore owner, when Anna Scott, the world's most beautiful woman and best-liked actress, enters his shop. A little later, he still can't believe it himself, William runs into her again - this time spilling orange juice over her. Anna accepts his offer to change in his nearby apartment, and thanks him with a kiss, which seems to surprise her even more than him. Eventually, Anna and William get to know each other better over the months, but being together with the world's most wanted woman is not easy - neither around your closest friends, nor in front of the all-devouring press."
Magnolia,Drama,1999,8,Paul Thomas Anderson,Tom Cruise,United States,188,https://www.imdb.com/title/tt0175880/,https://imdb-api.com/images/original/MV5BZjk3YThkNDktNjZjMS00MTBiLTllNTAtYzkzMTU0N2QwYjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_Ratio0.6751_AL_.jpg,"24 hours in L.A.; it's raining cats and dogs. Two parallel and intercut stories dramatize men about to die: both are estranged from a grown child, both want to make contact, and neither child wants anything to do with dad. Earl Partridge's son is a charismatic misogynist; Jimmy Gator's daughter is a cokehead and waif. A mild and caring nurse intercedes for Earl, reaching the son; a prayerful and upright beat cop meets the daughter, is attracted to her, and leads her toward a new calm. Meanwhile, guilt consumes Earl's young wife, while two whiz kids, one grown and a loser and the other young and pressured, face their situations. The weather, too, is quirky."
"Girl, Interrupted",Biography,1999,7.3,James Mangold,Winona Ryder,Germany,127,https://www.imdb.com/title/tt0172493/,https://imdb-api.com/images/original/MV5BNzdjZDYwM2QtMGNlZS00MGQzLTlhMjctYTU4NWI5MWJlYmQwXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_Ratio0.6751_AL_.jpg,"In 1967, Susanna Kaysen had a headache and chased a bottle of aspirin with a bottle of vodka. This landed her in the mental institution, Claymoore. Here she is diagnosed, by Dr. Melvin Potts, with borderline personality disorder. When she arrives at Claymoore, she is greeted by Nurse Valerie Owens and shown round the woman's ward. Here she meets Georgina Tuskin, a pathological liar who is fixated with The Wizard of Oz; Polly Clark, a childlike schizophrenic; Janet Webber, a sardonic anorexic patient; Daisy Randone, a girl who won't let anyone in her room, and only eats her father's chicken; and Lisa Rowe, a sociopath who controls the other patients, and makes lives hard for the nurses at Claymoore. Through the movie, Lisa gains and loses control over Susanna and we see how bad she really can be. The movie's ending shows Susanna being released from Claymoore after an 18-month stay. How does Susanna take back her control? This movie battles subjects such as mental heath, abuse, self-harm and suicide."
Romance,Romance,1999,5.3,Catherine Breillat,Caroline Ducey,France,84,https://www.imdb.com/title/tt0194314/,https://imdb-api.com/images/original/MV5BNjY4NDgwNTI5MV5BMl5BanBnXkFtZTcwMDI1NTcxMQ@@._V1_Ratio0.6751_AL_.jpg,"Although deeply in love with her boyfriend - and indeed sleeping in the same bed with him - a schoolteacher cannot handle the almost complete lack of intimacy he will allow. Increasingly frustrated, she gradually finds her sexual appetites leading her into ever more risky situations, including a developing one with the headmaster."
All About My Mother,Drama,1999,7.9,Pedro Almodovar,Cecilia Roth,Spain,101,https://www.imdb.com/title/tt0185125/,https://imdb-api.com/images/original/MV5BODMyYTc3YmItZDYwZC00ZmU1LTgyNGUtMDU4NDhiOWExNmU3XkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_Ratio0.6751_AL_.jpg,"Argentine Manuela Echevarria, an organ transplant coordinator at a Madrid hospital, ran off from her husband in Barcelona eighteen years ago upon learning that she was pregnant, their son, Esteban, who she has never told about his father despite his curiosity, and her husband who didn't know about the pregnancy when she ran off. An event coinciding with Esteban, an aspiring writer, turning seventeen leads to Manuela feeling the need to return to Barcelona to look for her husband. There, she ends up further acting as the maternal figure for people in need. One is a young nun named Sister Rosa, who she meets through her old friend, a transvestite prostitute who has assumed the name Agrado in her agreeable nature. Rosa has a strained relationship with her own conservative mother, as she is consumed with caring for her ill husband, who suffers from Alzheimer's. The other is actress Huma Rojo, currently appearing as Blanche Dubois in a stage production of A Streetcar Named Desire, which has long been a touchstone for Manuela in productions of it coinciding with milestone moments in her life, this production no different. Huma is in a troubled codependent relationship with her younger Stella Kowalski"" costar Nina Cruz"
The War Zone,Drama,1999,7.3,Tim Roth,Ray Winstone,Italy,98,https://www.imdb.com/title/tt0141974/,https://imdb-api.com/images/original/MV5BN2NlZTEyZTYtMGM5MS00OTlkLTk1YTgtZGY2MGQyODZlYTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Suddenly, the moody 15-year-old, Tom, and his 18-year-old sister, Jessie, find themselves relocated from the hustle and bustle of urban London to the sullen silence of wind-swept rural Devon, at a little but neat cottage in the middle of nowhere. Dad is caring and kind, and very much in love with mum who has just given birth; however, an accidental glimpse of a disturbing and well-hidden secret in the family will bring Tom face-to-face with shock, denial, and ultimately, rage. What mystery could be so appalling that threatens to bring everyone in the family to their knees?"
Beau travail,Drama,1999,7.4,Claire Denis,Denis Lavant,France,92,https://www.imdb.com/title/tt0209933/,https://imdb-api.com/images/original/MV5BNGE4NGExNzctYjY2Yy00Nzg4LTkyNjAtNDYzMDQyYWM4ZDFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"This film focuses on ex-Foreign Legion officer, Galoup, as he recalls his once glorious life, leading troops in the Gulf of Djibouti. His existence there was happy, strict and regimented, but the arrival of a promising young recruit, Sentain, plants the seeds of jealousy in Galoup's mind. He feels compelled to stop him from coming to the attention of the commandant who he admires, but who ignores him. Ultimately, his jealousy leads to the destruction of both Sentain and himself."
Asterix and Obelix vs. Caesar,Adventure,1999,6,Claude Zidi,Christian Clavier,France,109,https://www.imdb.com/title/tt0133385/,https://imdb-api.com/images/original/MV5BMTk5MTQ2NzI3MF5BMl5BanBnXkFtZTYwOTgwNDc5._V1_Ratio0.6751_AL_.jpg,"The well-known little village from the Asterix and Obelix-comic books is in trouble: It is the last place not controlled by Rome. When Tax collector Claudius Incorruptus does not get his money from the villagers, Julius Caesar himself comes to the place to see what's so special about their resistance. A special magic potion, prepared by the village's druid, gives incredible power to those who drink it. And Obelix, who fell into the pot as a child has been invincible ever since. With the help of Tullius Destructivus, an intrigeur, the Romans try to get Obelix and the druid into their hands in order to wipe the little village off the map, when the last potion of it's stock has been used up. But each individual also has some plans of his own..."
The Wind Will Carry Us,Drama,1999,7.5,Abbas Kiarostami,Behzad Dorani,Iran,118,https://www.imdb.com/title/tt0209463/,https://imdb-api.com/images/original/MV5BNzVhOGUwOWMtZTY2MC00NWEzLWIyNWMtOWVmYWRjNjBjMmFiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_Ratio0.6751_AL_.jpg,Irreverent city engineer Behzad comes to a rural village in Iran to keep vigil for a dying relative. In the meanwhile the film follows his efforts to fit in with the local community and how he changes his own attitudes as a result.
In the Mood for Love,Romance,2000,8.1,Kar-Wai Wong,Tony Chiu-Wai Leung,Hong Kong,98,https://www.imdb.com/title/tt0118694/,https://imdb-api.com/images/original/MV5BYjZjODRlMjQtMjJlYy00ZDBjLTkyYTQtZGQxZTk5NzJhYmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"Set in Hong Kong, 1962, Chow Mo-Wan is a newspaper editor who moves into a new building with his wife. At the same time, Su Li-zhen, a beautiful secretary and her executive husband also move in to the crowded building. With their spouses often away, Chow and Li-zhen spend most of their time together as friends. They have everything in common from noodle shops to martial arts. Soon, they are shocked to discover that their spouses are having an affair. Hurt and angry, they find comfort in their growing friendship even as they resolve not to be like their unfaithful mates."
"Crouching Tiger, Hidden Dragon",Action,2000,7.8,Ang Lee,Chow Yun-Fat,Taiwan,120,https://www.imdb.com/title/tt0190332/,https://imdb-api.com/images/original/MV5BNDdhMzMxOTctNDMyNS00NTZmLTljNWEtNTc4MDBmZTYxY2NmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_Ratio0.6751_AL_.jpg,"In early nineteenth-century China, in the waning years of the Qing dynasty, the renowned swordsman who yearns for enlightenment, Li Mu Bai, decides to give up his legendary Green Destiny sword: the sharp four-hundred-year-old blade of heroes. To mark the end of a blood-stained career, Li entrusts the excellent female warrior, Yu Shu Lien, with the precious weapon to deliver it to Governor Yu; however, once there, an audacious and nimble masked thief manages to steal it. As Shu Lien is hot on the trail of the skilled burglar, unrequited loves; fervent passions; an unconquerable desire for freedom, and bitter loose ends stand in the way. Can Mu Bai shake off his violent past?"
Amores Perros,Drama,2000,8.1,Alejandro G. Inarritu,Emilio Echevarria,Mexico,154,https://www.imdb.com/title/tt0245712/,https://imdb-api.com/images/original/MV5BMjQxMWJhMzMtMzllZi00NzMwLTllYjktNTcwZmU4ZmU3NTA0XkEyXkFqcGdeQXVyMTAzMDM4MjM0._V1_Ratio0.6751_AL_.jpg,"On the brink of the new Millennium in the bustling City of Mexico, one horrible car accident intertwines inextricably the lives of three perfect strangers. Octavio, a rebellious adolescent who is secretly in love with his sister-in-law, dreams of escaping his miserable life, and for this reason, he enters reluctantly the obscure world of dog fighting with his lethal dog Cofi. And then unexpectedly, Valeria, a stunning woman and famous supermodel, will cross paths with Octavio, while in the meantime, her pampered little dog Richie manages to vanish into thin air in the confined space of her apartment. Lastly, Chivo, an ex-guerrilla vagabond, after abandoning his little daughter, unable to make up for lost time, he channels his love to the city's strays and a mortally wounded Rottweiler. In the end, even though all the weary characters, men and beasts, wish for a bright future, in this life-changing journey in the pursuit of love, sometimes infidelity, sin and death can get in the way."
Scarlet Diva,Drama,2000,5,Asia Argento,Asia Argento,Italy,90,https://www.imdb.com/title/tt0218581/,https://imdb-api.com/images/original/MV5BYjg1M2ZjNmItM2YwMy00Y2RmLThmNDAtNTJjZmVjMTcxMjVhXkEyXkFqcGdeQXVyNTkyMjQwNw@@._V1_Ratio0.6751_AL_.jpg,"Anna Battista is a young, popular, 24-year-old Italian-born International film actress who engages herself on a hectic and self-destructive spree which takes her across Europe and to America to shed her boy-toy"" image to become an ""artist"" in order to write and direct herself in a semi-biography movie of herself titled ""Scarlet Diva."" After working in Rome"
Dancer in the Dark,Crime,2000,8,Lars von Trier,Bjork,Denmark,140,https://www.imdb.com/title/tt0168629/,https://imdb-api.com/images/original/MV5BNDVkYWMxNWEtNjc2MC00OGI5LWI3NmUtYWUwNDQyOTc3YmY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_Ratio0.6751_AL_.jpg,"In small-town Washington state in 1964, Czechoslovakian immigrant Selma Jezková and her preteen son Gene live in a rented trailer owned by Bill and Linda Houston; Bill is the town sheriff. Selma also has a small group of friends, including her co-worker and primary confidante Kathy, and Jeff, who wants to be her boyfriend. Jeff regularly waits outside Selma's workplace to drive her home, although she always refuses, not wishing to lead him on. Her primary job is working on the Anderson Tool factory assembly line, but she does whatever else she can to earn money. What only Kathy knows among Selma's friends is that she is slowly going blind from a genetic medical condition. She can see just enough to be able to do her job. Her primary reason for moving to the USA and working all the time is to earn enough money for an operation for Gene when he turns 13; he knows nothing about his mother's or his own degenerative eyesight. Selma allows only one indulgence in her life: anything to do with musicals which she loves, because they're an escape from her bleak life. Kathy often takes her to the cinema to watch old musicals and must describe to her what's happening on the screen, to the other patrons' annoyance. Selma also has the role of Maria in a community-theatre production of The Sound of Music."" Close to having enough money for the operation"
The Little Vampire,Adventure,2000,5.8,Uli Edel,Jonathan Lipnicki,Germany,95,https://www.imdb.com/title/tt0192255/,https://imdb-api.com/images/original/MV5BOTU4NDQ3NzY1NV5BMl5BanBnXkFtZTYwMTQ3NTk2._V1_Ratio0.6751_AL_.jpg,"Based on the popular books, the story tells of Tony who wants a friend to add some adventure to his life. What he gets is Rudolph, a vampire kid with a good appetite. The two end up inseparable, but their fun is cut short when all the hopes of the vampire race could be gone forever in single night. With Tony's access to the daytime world, he helps them to find what they've always wanted."
